trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.95}",20,0,-31.532836536789954,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.8999999999999999}",20,0,-31.002309244365446,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.8499999999999999}",35,0,-161.8936584398207,"{0: 21, 1: 1, 2: 10, 3: 2, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.7999999999999998}",20,0,-87.9936604538986,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.7499999999999998}",30,0,-51.873978775661044,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.6999999999999997}",20,0,-74.31800092661928,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.6499999999999997}",25,0,-106.16723558749423,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.5999999999999996}",20,0,-87.7170643536059,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.5499999999999996}",35,0,-100.64788057985498,"{0: 23, 1: 4, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.4999999999999996}",20,0,-23.397573474506434,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.4499999999999996}",25,10,-1.931590573111094,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.1, 'e': 0.39999999999999963}",30,0,-2.6409115133496988,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.34999999999999964}",35,22,18.364138925926188,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.1, 'e': 0.29999999999999966}",25,0,-42.427284477701086,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.24999999999999967}",20,15,-3.499080954753757,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.19999999999999968}",20,0,-68.67537566604621,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.1499999999999997}",25,20,7.641647069537497,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.1, 'e': 0.09999999999999969}",20,0,29.034782782979804,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.1, 'e': 0.049999999999999684}",25,16,4.461552975971827,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.1, 'e': -3.191891195797325e-16}",35,0,43.883610147668065,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,13,12.04144857285872,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,10,24.12326662860059,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,13,11.456568841273334,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,38.24704305253358,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,8,12.08167440835166,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,2,25.114447936319056,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,25.82227492568679,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,23.052280213737838,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,19.34378196989306,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,15,6.137181705863136,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
