trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.45, 'e': 1.0}",25,0,-187.89102501172044,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.45, 'e': 0.9950124791926823}",20,0,-78.06533323843537,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.45, 'e': 0.9900498337491681}",30,0,-105.5896049410726,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.45, 'e': 0.9851119396030626}",20,0,-26.783155190117235,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.45, 'e': 0.9801986733067553}",20,0,-47.12244855677498,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.45, 'e': 0.9753099120283326}",25,0,-67.70853849251218,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.45, 'e': 0.9704455335485082}",20,0,-85.63200813292595,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.45, 'e': 0.9656054162575665}",20,0,-72.11148200223747,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.45, 'e': 0.9607894391523232}",20,0,-140.77872954646506,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.45, 'e': 0.9559974818331}",20,0,-81.8260158457911,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.45, 'e': 0.951229424500714}",25,0,-179.39886519874796,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
12,False,"{'a': 0.45, 'e': 0.9464851479534838}",25,0,-103.96393541518124,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.45, 'e': 0.9417645335842487}",20,5,2.615631325129706,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.45, 'e': 0.9370674633774034}",20,0,-45.45431304421179,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.45, 'e': 0.9323938199059483}",20,3,-140.26021360369205,"{0: 6, 1: 2, 2: 6, 3: 2, 4: 1}",1
16,False,"{'a': 0.45, 'e': 0.9277434863285529}",30,0,-131.9775414739022,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.45, 'e': 0.9231163463866358}",20,6,-62.45787509207201,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.45, 'e': 0.9185122844014574}",20,0,-83.43341864325888,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.45, 'e': 0.9139311852712282}",20,0,-34.10733850532454,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.45, 'e': 0.9093729344682314}",20,0,-146.7949440051793,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.45, 'e': 0.9048374180359595}",20,0,-121.26164975182371,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.45, 'e': 0.9003245225862656}",20,0,-92.36575391881094,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.45, 'e': 0.8958341352965282}",35,19,-40.562540002715046,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
24,False,"{'a': 0.45, 'e': 0.8913661439068313}",20,0,-93.41594023875874,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.45, 'e': 0.8869204367171575}",25,11,-60.8785018090215,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
