trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",30,0,-109.56031437367193,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.9950124791926823}",25,0,-61.19955821020048,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.9900498337491681}",30,0,-118.00930372558268,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.9851119396030626}",20,0,-165.82937519860957,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.1, 'e': 0.9801986733067553}",30,11,-103.54916006882677,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 1}",1
6,False,"{'a': 0.1, 'e': 0.9753099120283326}",25,0,-53.47179232352016,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.9704455335485082}",25,0,-110.33793850110226,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9656054162575665}",20,0,-61.654980839135035,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.9607894391523232}",20,0,-82.44659492265644,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.9559974818331}",20,0,-188.70545389735153,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.1, 'e': 0.951229424500714}",25,0,-41.260162615178686,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.9464851479534838}",20,2,-72.13721509238606,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
13,False,"{'a': 0.1, 'e': 0.9417645335842487}",30,0,-88.00473730661574,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.9370674633774034}",20,0,-57.37978705722396,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.9323938199059483}",25,0,-96.42077317574346,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.9277434863285529}",20,0,-47.414164898959314,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.9231163463866358}",30,0,-173.4438789485684,"{0: 15, 1: 0, 2: 13, 3: 1, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.9185122844014574}",20,0,-97.55714032444223,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.9139311852712282}",35,0,-171.01514633296134,"{0: 19, 1: 5, 2: 9, 3: 0, 4: 2}",0
20,False,"{'a': 0.1, 'e': 0.9093729344682314}",20,0,-77.04650952004837,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,6,-49.687625451355316,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,13,-29.816325663866767,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-70.65642861713883,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-126.97611211835434,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-121.87453719448774,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-86.54044993658638,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-124.3308062196348,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-108.72256300479317,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-130.7915737975755,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-139.08347496865656,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
